dataset,trial,error_type,intensity,features,model,accuracy,f1_macro,f1_weighted
winequality-red.csv,3,NCAR,0.2,target,RF,0.61875,0.3612398906003557,0.6130154142127253
winequality-red.csv,3,NCAR,0.2,alcohol,RF,0.528125,0.29749489327411405,0.5615168015381083
winequality-red.csv,3,NCAR,0.2,target,LinearSVM,0.56875,0.22284757569642202,0.5278886472184228
winequality-red.csv,3,NCAR,0.2,alcohol,LinearSVM,0.5625,0.18937581640294546,0.5233605190457311
winequality-red.csv,3,NCAR,0.2,target,KNN,0.421875,0.20377299922586703,0.41170967812913445
winequality-red.csv,3,NCAR,0.2,alcohol,KNN,0.415625,0.18100967211825073,0.43352496099247384
winequality-red.csv,3,NCAR,0.3,target,RF,0.5375,0.2683001683001683,0.5504588654588655
winequality-red.csv,3,NCAR,0.3,alcohol,RF,0.353125,0.18692521144649538,0.4470275626013331
winequality-red.csv,3,NCAR,0.3,target,LinearSVM,0.559375,0.22261758896040862,0.517929005555134
winequality-red.csv,3,NCAR,0.3,alcohol,LinearSVM,0.290625,0.12046004842615012,0.35187146892655374
winequality-red.csv,3,NCAR,0.3,target,KNN,0.4,0.19914428861346667,0.40407289628180043
winequality-red.csv,3,NCAR,0.3,alcohol,KNN,0.26875,0.13863396018207735,0.32403974033288885
winequality-red.csv,3,NCAR,0.5,target,RF,0.51875,0.2730821621980797,0.537882487790292
winequality-red.csv,3,NCAR,0.5,alcohol,RF,0.134375,0.09821946169772255,0.22653623188405797
winequality-red.csv,3,NCAR,0.5,target,LinearSVM,0.571875,0.21609712527705185,0.5234099705580735
winequality-red.csv,3,NCAR,0.5,alcohol,LinearSVM,0.0,0.0,0.0
winequality-red.csv,3,NCAR,0.5,target,KNN,0.3625,0.20243725583302694,0.4005026454534829
winequality-red.csv,3,NCAR,0.5,alcohol,KNN,0.1375,0.08459728982543192,0.21202605032522553
winequality-red.csv,3,NAR,0.1,target,RF,0.634375,0.3266198344879167,0.6286397514074533
winequality-red.csv,3,NAR,0.1,alcohol,RF,0.609375,0.27633176654915786,0.6116216915673437
winequality-red.csv,3,NAR,0.1,target,LinearSVM,0.575,0.212054317216362,0.5265261801345998
winequality-red.csv,3,NAR,0.1,alcohol,LinearSVM,0.58125,0.22045247058092657,0.5349988234626535
winequality-red.csv,3,NAR,0.1,target,KNN,0.4625,0.22062024027139152,0.45272670408078036
winequality-red.csv,3,NAR,0.1,alcohol,KNN,0.44375,0.15733648750442897,0.43946870906488156
winequality-red.csv,3,NAR,0.2,target,RF,0.575,0.3032473875748422,0.5853515910619753
winequality-red.csv,3,NAR,0.2,alcohol,RF,0.475,0.18933801328502414,0.5153434480676328
